gene_id	transcript_id	baseline_score	baseline_rank	n_windows	top_window_k	best_window_region_type	best_window_inferred_region_type	topk_CDS_fraction	topk_UTR_fraction	topk_ncRNA_fraction	topk_unknown_fraction	topk_inferred_CDS_fraction	topk_inferred_UTR_fraction	topk_inferred_ncRNA_fraction	topk_inferred_unknown_fraction	topk_self_complementarity_score_mean	topk_inverted_repeat_score_mean	topk_simple_repeat_score_mean	topk_simple_repeat_penalty_score_mean	topk_reverse_complement_4mer_density_mean	topk_reverse_complement_5mer_density_mean	topk_reverse_complement_6mer_density_mean	topk_paired_architecture_score_mean	topk_stem_like_score_mean	topk_paired_run_density_mean	topk_max_local_paired_mean_31nt_mean	topk_max_local_paired_mean_41nt_mean	topk_max_local_paired_mean_81nt_mean	topk_longest_high_paired_run_mean	max_paired_architecture_score	fraction_high_paired_architecture_windows
LOC_Os06g48030	LOC_Os06g48030.3	0.9984102333333332	1	91	20	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5192153182136866	0.5456738984230826	0.09449504454513644	0.09449504454513644	0.6690355329949239	0.3948979591836735	0.22256410256410253	0.40645578958926337	0.42791801690183034	0.3882500000000001	0.6802362789069452	0.6492540507054911	0.5955036355757418	9.85	0.5373306504702365	0.0
LOC_Os12g37480	LOC_Os12g37480.1	0.99835217	2	19	20	unknown	3UTR	0.7894736842105263	0.0	0.0	0.21052631578947367	0.6842105263157895	0.3157894736842105	0.0	0.0	0.5537350906277666	0.6174231008694389	0.06194307032213288	0.06194307032213288	0.6556238311514828	0.4240064446831365	0.28070175438596495	0.5272330144102396	0.5814597034260509	0.5642105263157895	0.8200179624840844	0.7972738471202582	0.7271930066465634	15.421052631578947	0.7562888567154982	0.15789473684210525
LOC_Os12g08550	LOC_Os12g08550.1	0.9978808466666664	3	96	20	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.54388955476247	0.5808721278085853	0.06692850459435482	0.06692850459435482	0.715989847715736	0.42602040816326536	0.2358974358974359	0.46435484497539364	0.49609701458128497	0.4494999999999999	0.7635982153877134	0.7287910437438547	0.6621963502816213	12.4	0.5615668343743023	0.0
LOC_Os04g25490	LOC_Os04g25490.1	0.9977169866666667	4	35	20	unknown	3UTR	0.7	0.0	0.0	0.3	0.6	0.4	0.0	0.0	0.515561369667606	0.5259046164577347	0.049619040648888155	0.049619040648888155	0.6939086294416243	0.3788265306122449	0.18307692307692308	0.5039995872434341	0.5524723017836004	0.5642499999999999	0.809725069326739	0.7681669053508013	0.7082088485176181	13.0	0.5787727606973344	0.0
LOC_Os03g22670	LOC_Os03g22670.1	0.99770768	5	85	20	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5285317191997757	0.5754902185742469	0.06554303697692744	0.06554303697692744	0.6893401015228426	0.42908163265306126	0.23717948717948717	0.410060316263383	0.4321598854917821	0.39675000000000005	0.6917460082038754	0.6547296564753463	0.5835123164418303	9.8	0.5602705925180178	0.0
LOC_Os03g55230	LOC_Os03g55230.1	0.99759231	6	30	20	unknown	3UTR	0.55	0.0	0.0	0.45	0.45	0.55	0.0	0.0	0.49122562101623013	0.5190743489696537	0.051419233535283417	0.051419233535283417	0.6928934010152283	0.3767857142857143	0.1941025641025641	0.4745596137189014	0.5137108884051563	0.5155000000000001	0.7707196835548646	0.7318826652154691	0.6770441589164145	11.75	0.5887762764956992	0.0
LOC_Os03g44835	LOC_Os03g44835.1	0.9971847533333332	7	106	20	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.49473516689796593	0.5168526261840257	0.06775272153327692	0.06775272153327692	0.684010152284264	0.38724489795918365	0.18974358974358974	0.43036148780715244	0.45265865393479665	0.40275	0.7359290812284716	0.69022596180439	0.6168538783435468	10.6	0.5881711491891134	0.0
LOC_Os12g01355	LOC_Os12g01355.1	0.9971580133333332	8	61	20	unknown	3UTR	0.35	0.0	0.0	0.65	0.25	0.75	0.0	0.0	0.5341498081527087	0.5685129382643886	0.06307613399378897	0.06307613399378897	0.6994923857868021	0.4140306122448979	0.21846153846153854	0.4616449868541623	0.49100642419442897	0.43999999999999995	0.764330572947379	0.733019272583287	0.6513552542453931	12.0	0.5423364318354684	0.0
LOC_Os07g36080	LOC_Os07g36080.2	0.9971264966666666	9	55	20	unknown	3UTR	0.35	0.0	0.0	0.65	0.15	0.85	0.0	0.0	0.4501194327291137	0.45180544286028335	0.04514982409536428	0.04514982409536428	0.6370558375634517	0.30765306122448977	0.148974358974359	0.43255398893073743	0.4555848077186724	0.42350000000000004	0.7251058207404231	0.7020044231560172	0.6427487583072097	9.65	0.557254645035503	0.0
LOC_Os02g16995	LOC_Os02g16995.1	0.9966472566666668	10	21	20	unknown	3UTR	0.65	0.0	0.0	0.35	0.45	0.55	0.0	0.0	0.46847670342050335	0.49105459102649085	0.04729877115626408	0.04729877115626408	0.6223350253807106	0.3466836734693878	0.18589743589743588	0.5262904786192282	0.5704320415655773	0.5552499999999999	0.8289112431387746	0.8035461246967317	0.7331732479142553	14.1	0.612180029141021	0.05
LOC_Os01g48550	LOC_Os01g48550.1	0.99656629	11	27	20	unknown	3UTR	0.2	0.0	0.0	0.8	0.1	0.9	0.0	0.0	0.4856413286797623	0.49433134810056484	0.05120029233828623	0.05120029233828623	0.6682741116751268	0.3729591836734694	0.17923076923076922	0.46614718516161674	0.49705969280246787	0.4630000000000001	0.765342903714026	0.731929078407404	0.6589161075927593	11.85	0.5559996353428478	0.0
LOC_Os07g30690	LOC_Os07g30690.1	0.99647279	12	99	20	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5412631935519897	0.5722533916477898	0.06887442329833075	0.06887442329833075	0.7307106598984772	0.44234693877551023	0.2325641025641026	0.47085991184334464	0.5120054305452643	0.47850000000000004	0.7644887203170407	0.7212662916357925	0.6478291144709527	13.45	0.6755638258211808	0.05
LOC_Os12g16350	LOC_Os12g16350.13	0.99616126	13	560	20	unknown	3UTR	0.25	0.0	0.0	0.75	0.15	0.85	0.0	0.0	0.5137224328078209	0.5404167719594659	0.05417473638295243	0.05417473638295243	0.7038071065989848	0.41403061224489807	0.21333333333333332	0.5048868605064876	0.551524850454757	0.52125	0.797095491328547	0.7708245513642706	0.6989850129242295	14.65	0.7581752958380547	0.05
LOC_Os10g13694	LOC_Os10g13694.2	0.9960943466666666	14	108	20	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5485671987122316	0.5697536848262011	0.06569035430896585	0.06569035430896585	0.7246192893401016	0.4354591836734695	0.2361538461538461	0.42692100242038916	0.45010885060318123	0.41125	0.7082413381145846	0.6978265518095436	0.6398687998453776	9.65	0.5232773986042114	0.0
LOC_Os03g40725	LOC_Os03g40725.1	0.9960501333333336	15	100	20	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.46803450995800533	0.5040193917311394	0.08742034039834634	0.08742034039834634	0.6258883248730964	0.3466836734693878	0.17051282051282052	0.38734395615159073	0.40098020894062236	0.34475	0.6760912979802778	0.634440626821867	0.5653566951736992	8.95	0.483579865340706	0.0
LOC_Os02g10300	LOC_Os02g10300.1	0.99602459	16	36	20	unknown	3UTR	0.55	0.0	0.0	0.45	0.5	0.5	0.0	0.0	0.4316721628133884	0.46780189337250605	0.06443163454463506	0.06443163454463506	0.5690355329949239	0.32295918367346943	0.17512820512820512	0.4568479508252449	0.48942499184511556	0.45499999999999996	0.7424856964618929	0.7157749755353462	0.6465182026595244	11.9	0.5376097514401935	0.0
LOC_Os02g09670	LOC_Os02g09670.1	0.9960083566666666	17	80	20	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.45556902209367756	0.4524960495083773	0.041530709687968896	0.041530709687968896	0.6456852791878174	0.32372448979591834	0.16076923076923078	0.4248388532884736	0.44857933680119555	0.41550000000000004	0.718521273520685	0.6764880104035867	0.6054071891087072	10.15	0.5050561906728035	0.0
LOC_Os04g09530	LOC_Os04g09530.2	0.9959547333333332	18	71	20	unknown	3UTR	0.5	0.0	0.0	0.5	0.3	0.7	0.0	0.0	0.4237919261849646	0.42644297163949085	0.034341035088733506	0.034341035088733506	0.6312182741116752	0.28775510204081634	0.12128205128205127	0.4626130537191654	0.5001194715906935	0.48150000000000004	0.7592788621302573	0.7238584147720801	0.6715721758795372	11.8	0.5964279554293903	0.0
LOC_Os02g32250	LOC_Os02g32250.1	0.9958626433333334	19	187	20	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.26032215202356607	0.2771055204562275	0.053944378087284105	0.053944378087284105	0.43350253807106603	0.1663265306122449	0.06333333333333332	0.48178602938220794	0.5188589000546835	0.48175	0.7802705518661005	0.7523267001640506	0.6814272656852816	12.9	0.5761860442716668	0.0
LOC_Os08g29020	LOC_Os08g29020.1	0.9955808366666666	20	96	20	CDS	3UTR	0.2	0.0	0.0	0.8	0.1	0.9	0.0	0.0	0.537951878896404	0.5564374779097404	0.0575819071923752	0.0575819071923752	0.6972081218274112	0.40688775510204084	0.22743589743589743	0.4445832723065773	0.4740705854757047	0.43549999999999994	0.7388182201693134	0.7017117564271136	0.6155193356452164	11.4	0.5771291873244304	0.0
